DigikeyPN,Quantity,Designator,Value,PartNumber,Comment,Footprint,Description,LibRef,Library Reference,LoadCapacitance,Model:Footprint,Pins,ScrewSize,VisibleNetName
36-5015CT-ND,0,"TP100, TP101, TP102, TP103, TP104, TP201, TP203, TP204, TP205, TP207, TP208, TP209, TP300, TP301, TP302, TP304, TP305, TP306, TP307, TP308, TP309, TP400, TP600, TP601, TP700, TP701",,,,TP_SMALL,,TP_SMALL,TP_SMALL,,5015,1,,"TX, RX, TX, RX, 3V3, VIN, VBAT_INT, VINFB, VFB, VBAT, CHRG, FAULT, SDA, SCL, ALERT, SPECT0, SPECT1, LED0, LED1, LED2, LED3, 3V3, SDA, SCL, TX, RX"
317060015-ND,0,U700,,ESP8266-12E,,ESP8266 ESP-12-E,ESP8266 ESP-12-E,ESP8266 ESP-12-E,ESP8266 ESP-12-E,,ESP8266 ESP-12-E,22,,
36-5106CT-ND,0,"R400, R403, R707",0,,1206,RES_1206,Resistor,Res1,Res1,,,2,,
311-0.0ARCT-ND,10,"R100, R103","0, 220",,805,RES_0805,Resistor,Res1,Res1,,,2,,
311-1.00MCRCT-ND,10,R401,1M,,805,RES_0805,Resistor,Res1,Res1,,,2,,
311-1.00MLRCT-ND,10,"R303, R308",1M,,402,RES_0402,Resistor,Res1,Res1,,,2,,
311-1.00KCRCT-ND,10,R202,1k,,805,RES_0805,Resistor,Res1,Res1,,,2,,
1276-1020-1-ND,10,C700,1n,,805,CAP_0805,Capacitor,Cap,Cap,,,2,,
1276-6470-1-ND,10,C200,1u,,"0805,50V",CAP_0805,Capacitor,Cap,Cap,,,2,,
1276-6458-1-ND,15,"C113, C114, C115, C407",2.2u,,805,CAP_0805,Capacitor,Cap,Cap,,,2,,
311-2.40KCRCT-ND,10,R204,2.4k,,805,RES_0805,Resistor,Res1,Res1,,,2,,
311-3.30KCRCT-ND,25,"R300, R301, R302, R600, R601",3.3k,,805,RES_0805,Resistor,Res1,Res1,,,2,,
SRR1260-3R3YCT-ND,2,L400,3.3u,SRR1260-3R3,,SRR1260,Inductor,Inductor,Inductor,,,2,,
1276-3343-1-ND,10,"C201, C202, C203",4.7u,,"1210,50V",CAP_1210,Capacitor,Cap,Cap,,,2,,
311-10.0KCRCT-ND,50,"R211, R212, R700, R701, R702, R703, R706, R708, R711",10k,,805,RES_0805,Resistor,Res1,Res1,,,2,,
1276-1015-1-ND,10,C408,10n,,805,CAP_0805,Capacitor,Cap,Cap,,,2,,
1276-1109-1-ND,10,C403,10p,,805,CAP_0805,Capacitor,Cap,Cap,,,2,,
1276-1312-1-ND,25,"C205, C206, C401, C601, C702",10u,,"1206,16V, 1206,16V, 1206,16V, 1206,16V, 1206",CAP_1206,Capacitor,Cap,Cap,,,2,,
587-1295-1-ND,10,"C404, C406",10u,,805,CAP_0805,Capacitor,Cap,Cap,,,2,,
SRR1208-150MLCT-ND,2,L200,15u,SRR1208-150ML,,srr1208,Inductor,Inductor,Inductor,,,2,,
490-6203-1-ND,15,"C102, C103, C300, C301",18p,,402,CAP_0402,Capacitor,Cap,Cap,,,2,,
311-24.3KCRCT-ND,10,R206,24.3k,,805,RES_0805,Resistor,Res1,Res1,,,2,,
CSR1206FK25L0CT-ND,5,R210,25m,,1206,RES_1206,Resistor,Res1,Res1,,,2,,
1276-1153-1-ND,10,"C100, C101",27p,,402,CAP_0402,Capacitor,Cap,Cap,,,2,,
311-33.2KCRCT-ND,10,R405,33.2k,,805,RES_0805,Resistor,Res1,Res1,,,2,,
1276-3063-1-ND,12,"C405, C600, C701",47u,,"1206,10V",CAP_1206,Capacitor,Cap,Cap,,,2,,
CRA6S868CT-ND,25,"RR503, RR504, RR505, RR506",49.9,,RES_ARR_4,CAC-80P319X150-8M,4 element resistor array,RES_ARR_4,RES_ARR_4,,"Chip Array, ConvexS, 8-Leads, Pitch 0.80mm,  Body 3.20x1.50mm, for Vishay CRA06S",8,,
